geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA2332	2382	5448.14180148266	1.9823476193892e-11	7.67895568104171e-11
.	rna-PA1013.1	1037	32274.6116428369	1.98279170859905e-11	7.67895568104171e-11
.	gene-PA5470	5639	274407.5842046	1.98401295392614e-11	7.67895568104171e-11
.	gene-PA0203	207	16627.0364795985	1.98814298357775e-11	7.67895568104171e-11
.	gene-PA0107	111	3.07498041649077e-16	1.98869809509006e-11	7.67895568104171e-11
.	rna-PA4276.1	4380	74342.5764636129	1.98900895753695e-11	7.67895568104171e-11
.	gene-PA0157	161	3004.75283668003	1.98998595379862e-11	7.67895568104171e-11
.	gene-PA3463	3556	2368.70582214627	1.9907964166066e-11	7.67895568104171e-11
.	gene-PA2297	2346	1.05087257341338e-10	1.9909407455998e-11	7.67895568104171e-11
argG	gene-PA3525	3617	3080.28222240019	1.99222860430837e-11	7.67895568104171e-11
.	gene-PA5232	5393	558.761892534153	1.9930279648861e-11	7.67895568104171e-11
tpiA	gene-PA4748	4900	23443.2949639191	1.99322780503053e-11	7.67895568104171e-11
.	gene-PA1225	1254	235.230934410215	1.99401606337801e-11	7.67895568104171e-11
.	gene-PA4064	4162	264.234466353252	1.99497085517919e-11	7.67895568104171e-11
.	gene-PA2554	2605	3.39088402349361e-15	1.99539273992855e-11	7.67895568104171e-11
.	gene-PA3389	3474	11587.2604279357	1.99593674921061e-11	7.67895568104171e-11
.	gene-PA3436	3528	1.27162293544833e-06	1.99720240345869e-11	7.67895568104171e-11
.	gene-PA1878	1925	2188119.63541264	1.99853467108824e-11	7.67895568104171e-11
.	gene-PA2123	2169	3.17680821008399e-09	2.00017780116468e-11	7.67895568104171e-11
dgcA	gene-PA5398	5566	7.11154375687801e-08	2.00025551677641e-11	7.67895568104171e-11
.	gene-PA3775	3871	3.46331794064701e-05	2.00155447771522e-11	7.67895568104171e-11
.	gene-PA5032	5189	9711.65007353656	2.00232053160221e-11	7.67895568104171e-11
.	gene-PA0380	385	409.249807422159	2.00306438102871e-11	7.67895568104171e-11
pslD	gene-PA2234	2282	3.95345441129246e-05	2.00376382153422e-11	7.67895568104171e-11
.	gene-PA5445	5614	1450471.62494123	2.00561789398535e-11	7.67895568104171e-11
.	gene-PA2087	2132	7.43812351064646e-08	2.00582883636002e-11	7.67895568104171e-11
.	gene-PA4517	4638	0.00401267924204975	2.00937044780858e-11	7.67895568104171e-11
pilM	gene-PA5044	5201	3577841.13292252	2.01032523960976e-11	7.67895568104171e-11
.	MSTRG.2869.2	3520	233.064387313051	2.01063610205665e-11	7.67895568104171e-11
.	gene-PA2692	2747	115623.232602832	2.01100247565478e-11	7.67895568104171e-11
.	gene-PA1740	1777	1180.51004183083	2.0110801912665e-11	7.67895568104171e-11
nrdG	gene-PA1919	1966	42499.450713352	2.01123562248995e-11	7.67895568104171e-11
arnC	gene-PA3553	3645	9739.33230423752	2.0121126986794e-11	7.67895568104171e-11
migA	gene-PA0705	718	411.538950323581	2.01216820983063e-11	7.67895568104171e-11
.	gene-PA4774	4927	50283.6667316383	2.0140555889725e-11	7.67895568104171e-11
.	gene-PA1425	1456	645.208070193751	2.01423322465644e-11	7.67895568104171e-11
.	MSTRG.3279.2	4014	2.75899357043106e-13	2.01427763357742e-11	7.67895568104171e-11
.	gene-PA1857	1903	366.113904471307	2.0153767543718e-11	7.67895568104171e-11
aruH	gene-PA4976	5132	3.06179115790901e-08	2.01563210566746e-11	7.67895568104171e-11
.	gene-PA4863	5017	50824.7707892477	2.01656469300815e-11	7.67895568104171e-11
.	gene-PA0110	114	2.1179534433891e-12	2.01920702380676e-11	7.67895568104171e-11
.	gene-PA4396	4514	274150.572377272	2.02102778956714e-11	7.67895568104171e-11
.	gene-PA3893	3991	22.3401964490226	2.0220491947498e-11	7.67895568104171e-11
.	gene-PA4140	4239	1.05128355894202e-11	2.02282635086704e-11	7.67895568104171e-11
.	gene-PA4824	4978	12168250.5149968	2.02300398655098e-11	7.67895568104171e-11
.	gene-PA3431	3516	8493826.92879071	2.02349248468181e-11	7.67895568104171e-11
.	gene-PA0629	637	8530849.9090901	2.02515781921875e-11	7.67895568104171e-11
.	gene-PA2874	2939	1132637.07152988	2.02717842512357e-11	7.67895568104171e-11
.	gene-PA3767	3863	8098.33836075957	2.02744487864948e-11	7.67895568104171e-11
rpmC	gene-PA4255	4356	589239.775945158	2.02905470203518e-11	7.67895568104171e-11
.	gene-PA2284	2331	12581.7074264108	2.02911021318641e-11	7.67895568104171e-11
.	gene-PA2322	2372	1.53120388641812e-12	2.02935446225183e-11	7.67895568104171e-11
.	gene-PA1133	1161	6277.39368280771	2.03077554772335e-11	7.67895568104171e-11
.	gene-PA4858	5012	0.00112173384351624	2.03117522801222e-11	7.67895568104171e-11
.	gene-PA3251	3328	1.01319816040633e-09	2.03124184139369e-11	7.67895568104171e-11
.	gene-PA5003	5160	5704.62827546377	2.0316526239128e-11	7.67895568104171e-11
.	gene-PA1839	1885	101.741068090377	2.034772350612e-11	7.67895568104171e-11
.	gene-PA0130	134	4.21295053857961e-15	2.0350832130589e-11	7.67895568104171e-11
.	gene-PA3710	3805	1.74543007857837e-16	2.03738137471987e-11	7.67895568104171e-11
.	gene-PA1229	1258	13144.6365295381	2.0389245847241e-11	7.67895568104171e-11
pscU	gene-PA1690	1727	684850.73022399	2.04097849731966e-11	7.67895568104171e-11
.	gene-PA4373	4491	42495.5778580876	2.04430916639353e-11	7.67895568104171e-11
.	gene-PA1022	1047	4.989126415881e-07	2.0443979842355e-11	7.67895568104171e-11
.	gene-PA1678	1715	5431.93183661453	2.04675165704771e-11	7.67895568104171e-11
.	gene-PA1519	1551	3.48818659001726e-07	2.04676275927795e-11	7.67895568104171e-11
purB	gene-PA2629	2685	358.837471889843	2.0473733819415e-11	7.67895568104171e-11
ccoN1	gene-PA1554	1589	14914.1681773914	2.04756211985568e-11	7.67895568104171e-11
.	gene-PA3829	3926	4139.81234763642	2.04802841352603e-11	7.67895568104171e-11
moaE	gene-PA3916	4015	567234.617166996	2.04816164028898e-11	7.67895568104171e-11
.	gene-PA3004	3072	148582.400719331	2.0498935882074e-11	7.67895568104171e-11
.	gene-PA2703	2758	0.00054822897051637	2.05098160677153e-11	7.67895568104171e-11
.	MSTRG.3652.1	4477	1722.69770869973	2.0523915900128e-11	7.67895568104171e-11
.	gene-PA1411	1441	96380.684802342	2.05278016807142e-11	7.67895568104171e-11
.	gene-PA4374	4492	827.573362257418	2.05303551936709e-11	7.67895568104171e-11
.	gene-PA4199	4299	1.23908980024313e-09	2.05366834649112e-11	7.67895568104171e-11
.	gene-PA5189	5349	1700.02458944012	2.05406802677999e-11	7.67895568104171e-11
pilJ	gene-PA0411	416	41051332.9412266	2.05583328138914e-11	7.67895568104171e-11
.	gene-PA1565	1600	7.65161545189043e-07	2.05684358434155e-11	7.67895568104171e-11
narX	gene-PA3878	3975	3920.95915004997	2.05691019772303e-11	7.67895568104171e-11
soxB	gene-PA5416	5584	1.147840323185e-07	2.05979677758705e-11	7.67895568104171e-11
.	rna-PA4277.1	4382	267508.382764245	2.05998551550124e-11	7.67895568104171e-11
.	gene-PA3728	3823	3.28008592652009e-05	2.06408223846211e-11	7.67895568104171e-11
.	gene-PA1660	1697	5.02525215652617e-05	2.06581418638052e-11	7.67895568104171e-11
.	gene-PA5116	5272	2.45714109917152e-06	2.06630268451136e-11	7.67895568104171e-11
.	gene-PA5168	5326	9.03384997812456e-06	2.06675787595145e-11	7.67895568104171e-11
pdxH	gene-PA1049	1074	55378.803579902	2.06699102278662e-11	7.67895568104171e-11
.	gene-PA3793	3889	27026.7673684671	2.06799022350879e-11	7.67895568104171e-11
aroP1	gene-PA3000	3068	187.705179028503	2.0682344725742e-11	7.67895568104171e-11
rplL	gene-PA4271	4373	3262465.3571475	2.07072137214936e-11	7.67895568104171e-11
.	gene-PA2338	2388	2.8657749287269e-09	2.07216466208138e-11	7.67895568104171e-11
.	gene-PA4200	4300	2.01442736524887e-08	2.07225347992335e-11	7.67895568104171e-11
.	gene-PA2010	2056	1.19993544762989e-05	2.07249772898876e-11	7.67895568104171e-11
.	gene-PA3367	3450	0.00219604553815124	2.07427408582816e-11	7.67895568104171e-11
spuG	gene-PA0303	307	3.93106038368097e-08	2.07474037949851e-11	7.67895568104171e-11
.	gene-PA3054	3123	2358.12144572202	2.0756507623787e-11	7.67895568104171e-11
pscO	gene-PA1696	1733	838544337486.211	2.07573958022067e-11	7.67895568104171e-11
idh	gene-PA2624	2680	9.81249551317963e-07	2.07618366943052e-11	7.67895568104171e-11
xylL	gene-PA2515	2566	1.35810955985819e-05	2.07642791849594e-11	7.67895568104171e-11
.	gene-PA2599	2654	7.35555481912407e-08	2.07657224748914e-11	7.67895568104171e-11
.	gene-PA2747	2802	1.19762957822423e-17	2.07805994634214e-11	7.67895568104171e-11
.	gene-PA3216	3294	1.19057430355451e-08	2.07825978648657e-11	7.67895568104171e-11
.	gene-PA2407	2461	1630924.66359401	2.07855954670322e-11	7.67895568104171e-11
.	gene-PA1023	1048	4.22241185138664e-08	2.07888151138036e-11	7.67895568104171e-11
pscT	gene-PA1691	1728	336761306.006346	2.07971417864883e-11	7.67895568104171e-11
.	gene-PA3779	3875	34229.614984189	2.08135730872527e-11	7.67895568104171e-11
leuA	gene-PA3792	3888	1.41938246687505e-12	2.08181250016537e-11	7.67895568104171e-11
.	gene-PA4455	4576	8715.4194964131	2.08307815441344e-11	7.67895568104171e-11
.	gene-PA3749	3845	0.000255162359715596	2.08657535694101e-11	7.67895568104171e-11
.	gene-PA0562	569	0.00670265305324965	2.08943973234454e-11	7.67895568104171e-11
.	gene-PA0534	541	3.39867732318456e-12	2.09131600925616e-11	7.67895568104171e-11
.	gene-PA1106	1132	17381.8734868563	2.09150474717035e-11	7.67895568104171e-11
.	gene-PA3074	3145	1400.01240392251	2.09261497019497e-11	7.67895568104171e-11
.	gene-PA4712	4858	153650.775138881	2.09356976199615e-11	7.67895568104171e-11
.	gene-PA1339	1369	4.54591392664843e-05	2.09356976199615e-11	7.67895568104171e-11
.	gene-PA3469	3562	15012.4892757801	2.09445794041585e-11	7.67895568104171e-11
.	gene-PA0535	542	7.29196282888194e-08	2.09523509653309e-11	7.67895568104171e-11
arsC	gene-PA2279	2326	3.11644147370736e-06	2.09582351473614e-11	7.67895568104171e-11
.	gene-PA4701	4845	1921.61402172092	2.09690043107003e-11	7.67895568104171e-11
.	gene-PA2341	2391	3.05424105583272e-06	2.09825490316007e-11	7.67895568104171e-11
fdx2	gene-PA3809	3905	54770.4002879951	2.09899875258657e-11	7.67895568104171e-11
.	gene-PA3445	3538	5.27019246021712e-12	2.09956496632913e-11	7.67895568104171e-11
.	MSTRG.3591.1	4393	11712.2398376357	2.10007566892045e-11	7.67895568104171e-11
.	gene-PA4558	4683	60183.4463190864	2.1024626484234e-11	7.67895568104171e-11
lptF	gene-PA3692	3787	2.25855802050192e-11	2.10249595511414e-11	7.67895568104171e-11
.	MSTRG.65.1	85	6.7123600419837e-06	2.10357287144802e-11	7.67895568104171e-11
purC	gene-PA1013	1036	212747.479385089	2.10359507590852e-11	7.67895568104171e-11
.	gene-PA4822	4976	350320.999263754	2.10804707023726e-11	7.67895568104171e-11
.	gene-PA5136	5292	218.655012984061	2.1109114456408e-11	7.67895568104171e-11
.	rna-PA4270.1	4372	398627.104556094	2.11161088614631e-11	7.67895568104171e-11
braZ	gene-PA1971	2016	34.9838876253959	2.11476391953624e-11	7.67895568104171e-11
.	gene-PA1486	1518	1.13453531870937e-07	2.11545225781151e-11	7.67895568104171e-11
.	gene-PA0040	41	0.000571492288913485	2.11690664997377e-11	7.67895568104171e-11
.	gene-PA2765	2825	193399.311283131	2.12316830783266e-11	7.67895568104171e-11
hisG	gene-PA4449	4569	6879.12097415334	2.12618811445964e-11	7.67895568104171e-11
gltA	gene-PA1580	1616	1.67923835214709e-05	2.12642126129481e-11	7.67895568104171e-11
sdhA	gene-PA1583	1619	23862.4908091216	2.12645456798555e-11	7.67895568104171e-11
.	gene-PA2980	3048	1117.65828093321	2.12743156424722e-11	7.67895568104171e-11
mmsA	gene-PA3570	3662	1.5893510736525e-24	2.12777573338485e-11	7.67895568104171e-11
.	gene-PA3038	3107	4.12074258363343e-13	2.12818651590396e-11	7.67895568104171e-11
cobO	gene-PA1272	1301	5190.4889061912	2.12831974266692e-11	7.67895568104171e-11
.	gene-PA3472	3565	20555.087288624	2.12868611626504e-11	7.67895568104171e-11
pslE	gene-PA2235	2283	6.72640740185983e-05	2.12931894338908e-11	7.67895568104171e-11
mdoH	gene-PA5077	5234	29173.0962675832	2.13151718497784e-11	7.67895568104171e-11
.	gene-PA1063	1089	39.176980293885	2.13388196002029e-11	7.67895568104171e-11
aotM	gene-PA0890	908	225.081311186611	2.13442596930236e-11	7.67895568104171e-11
.	gene-PA2682	2737	0.000182470203679144	2.1363799618257e-11	7.67895568104171e-11
trpF	gene-PA3113	3188	42650.1617167965	2.14062101377976e-11	7.67895568104171e-11
surE	gene-PA3625	3720	2719.94325542806	2.14108730745011e-11	7.67895568104171e-11
.	gene-PA4680	4816	8.81336662434345e-10	2.14142037435749e-11	7.67895568104171e-11
.	gene-PA4506	4627	6.19672763116583e-11	2.14217532601424e-11	7.67895568104171e-11
nuoM	gene-PA2648	2704	4.59548009320371e-06	2.14324114011788e-11	7.67895568104171e-11
hcpC	gene-PA0263	267	3.13754972495791e-08	2.14419593191906e-11	7.67895568104171e-11
ribF	gene-PA4561	4686	8331.86507468825	2.14781525897934e-11	7.67895568104171e-11
folA	gene-PA0350	355	426.701514690161	2.14877005078051e-11	7.67895568104171e-11
.	rna-PA3133.4	3212	43075.5591853974	2.1519119819402e-11	7.67895568104171e-11
.	gene-PA5458	5627	0.000250919987538012	2.15232276445931e-11	7.67895568104171e-11
betB	gene-PA5373	5541	48287973.7926227	2.15514273094186e-11	7.67895568104171e-11
.	gene-PA3365	3447	6.87237547088332e-08	2.15537587777703e-11	7.67895568104171e-11
priA	gene-PA5050	5207	83.6589183134293	2.15731876807013e-11	7.67895568104171e-11
irlR	gene-PA4885	5038	2318.15520805143	2.15785167512195e-11	7.67895568104171e-11
murA	gene-PA4450	4570	47989.2448017345	2.15789608404293e-11	7.67895568104171e-11
pra	gene-PA4590	4716	4.0052771240122e-09	2.15935047620519e-11	7.67895568104171e-11
cysS	gene-PA1795	1833	19755.2009636161	2.16002771225021e-11	7.67895568104171e-11
yfiR	gene-PA1121	1150	1245.20860882235	2.1602164501644e-11	7.67895568104171e-11
liuB	gene-PA2014	2060	4.51070713432749e-13	2.16102691297237e-11	7.67895568104171e-11
phhR	gene-PA0873	890	1293341.724581	2.16227036275995e-11	7.67895568104171e-11
.	gene-PA5474	5643	5602727.29130398	2.16384687945492e-11	7.67895568104171e-11
tatC	gene-PA5070	5227	69.1256202657818	2.16457962665118e-11	7.67895568104171e-11
.	gene-PA2097	2142	4.81532044253059e-05	2.16524576046595e-11	7.67895568104171e-11
.	gene-PA5115	5271	1267515.48299753	2.16772155781086e-11	7.67895568104171e-11
.	gene-PA1964	2009	187.902823160315	2.16848761169786e-11	7.67895568104171e-11
.	gene-PA2121	2167	8.87267454476603e-08	2.16858753177007e-11	7.67895568104171e-11
.	gene-PA1551	1584	143356.207414862	2.1696755503342e-11	7.67895568104171e-11
.	gene-PA3980	4080	186.519414881318	2.17015294623479e-11	7.67895568104171e-11
purA	gene-PA4938	5093	28842.2606309666	2.17127427148966e-11	7.67895568104171e-11
.	gene-PA4912	5065	1.48532982408024e-08	2.17732498697387e-11	7.67895568104171e-11
.	gene-PA3080	3151	2.4062929269797e-13	2.17766915611151e-11	7.67895568104171e-11
spuD	gene-PA0300	304	3.35399584082718e-10	2.17790230294668e-11	7.67895568104171e-11
.	gene-PA2361	2411	2.07184904732303e-05	2.17803552970963e-11	7.67895568104171e-11
.	gene-PA2325	2375	0.000125587307290968	2.1810775407971e-11	7.67895568104171e-11
rnd	gene-PA1294	1323	694.579075643846	2.18396412066113e-11	7.67895568104171e-11
purN	gene-PA0944	967	438.565218753313	2.18545181951413e-11	7.67895568104171e-11
.	gene-PA2783	2845	3767532778497.31	2.18673967822269e-11	7.67895568104171e-11
.	gene-PA0033	34	1.18535392212118e-07	2.18780549232633e-11	7.67895568104171e-11
.	gene-PA0974	998	485797.626710885	2.18864926182505e-11	7.67895568104171e-11
.	gene-PA1312	1341	9608.55132483	2.18920437333736e-11	7.67895568104171e-11
.	gene-PA4880	5033	5.19634263449376e-09	2.18929319117933e-11	7.67895568104171e-11
.	gene-PA3534	3626	2.28574814810119e-06	2.19040341420396e-11	7.67895568104171e-11
dsbG	gene-PA2476	2527	432.785759260909	2.19053664096691e-11	7.67895568104171e-11
uraA	gene-PA4647	4781	3290.7131830253	2.19100293463725e-11	7.67895568104171e-11
.	gene-PA5478	5647	5132.91296342091	2.19166906845203e-11	7.67895568104171e-11
.	gene-PA2310	2360	6.36435311019867e-11	2.19285700708838e-11	7.67895568104171e-11
fusA1	gene-PA4266	4367	20309.7904498759	2.19300133608158e-11	7.67895568104171e-11
recO	gene-PA0772	786	16903.2984500146	2.19422258140867e-11	7.67895568104171e-11
.	gene-PA5020	5177	8.40036578579866e-08	2.19521067990058e-11	7.67895568104171e-11
.	gene-PA2987	3055	6462.449267298	2.19784190846894e-11	7.67895568104171e-11
.	gene-PA0045	47	125860.01616483	2.19850804228372e-11	7.67895568104171e-11
.	gene-PA3252	3329	2.40164540195724e-09	2.19859686012569e-11	7.67895568104171e-11
lpdV	gene-PA2250	2297	5.37510913510345e-13	2.20057305710952e-11	7.67895568104171e-11
popN	gene-PA1698	1735	2945520113428.01	2.20093943070765e-11	7.67895568104171e-11
folD	gene-PA1796	1834	239.217317033247	2.2012391909243e-11	7.67895568104171e-11
.	gene-PA3758	3854	6.59619991313536e-09	2.20191642696932e-11	7.67895568104171e-11
phzC1	gene-PA4212	4313	616826.890601035	2.20277129869828e-11	7.67895568104171e-11
aphA	gene-PA1409	1439	0.000139979399533368	2.2039037261834e-11	7.67895568104171e-11
glcE	gene-PA5354	5517	7.97886248843542e-11	2.20520268712221e-11	7.67895568104171e-11
.	gene-PA4816	4970	1346.40740062869	2.20707896403383e-11	7.67895568104171e-11
trpS	gene-PA4439	4559	7076.78506906265	2.21109797138297e-11	7.67895568104171e-11
.	gene-PA1235	1264	1925.18598351241	2.21136442490888e-11	7.67895568104171e-11
tadG	gene-PA4297	4410	2.64519020592891e-07	2.21300755498532e-11	7.67895568104171e-11
.	gene-PA3309	3391	6873462973.45538	2.21315188397853e-11	7.67895568104171e-11
rpsQ	gene-PA4254	4355	252993.402019684	2.21384022225379e-11	7.67895568104171e-11
.	gene-PA2868	2933	9.8538553775855e-05	2.2192914173047e-11	7.67895568104171e-11
.	gene-PA5530	5698	0.000170937287298699	2.22002416450096e-11	7.67895568104171e-11
.	gene-PA4979	5135	9.45339362788684e-09	2.22266649529956e-11	7.67895568104171e-11
.	gene-PA1969	2014	72655.2279200723	2.2237323094032e-11	7.67895568104171e-11
.	gene-PA2041	2087	2.0013274051838e-09	2.22520890602596e-11	7.67895568104171e-11
cupB1	gene-PA4086	4184	6.58789658495702e-06	2.22737384092397e-11	7.67895568104171e-11
.	gene-PA1547	1580	1243554.60371065	2.2290835843819e-11	7.67895568104171e-11
.	gene-PA1578	1613	90699.5964724538	2.22941665128928e-11	7.67895568104171e-11
pslJ	gene-PA2240	2288	0.00202766028516931	2.22989404718987e-11	7.67895568104171e-11
oprM	gene-PA0427	432	104215.386655123	2.23010498956455e-11	7.67895568104171e-11
rpsU	gene-PA0579	587	8867.84961379793	2.23123741704967e-11	7.67895568104171e-11
secA	gene-PA4403	4521	37319.7961927042	2.23262519583045e-11	7.67895568104171e-11
.	gene-PA5461	5630	1.66597873427916e-08	2.23301377388907e-11	7.67895568104171e-11
.	gene-PA1472	1503	0.00131464283064907	2.23384644115754e-11	7.67895568104171e-11
.	gene-PA0636	643	34819199.2595653	2.23482343741921e-11	7.67895568104171e-11
.	gene-PA4831	4985	196253.133294785	2.23566720691792e-11	7.67895568104171e-11
.	gene-PA1490	1522	1751.58922258795	2.23980833879978e-11	7.67895568104171e-11
.	gene-PA1345	1375	20639.4661575183	2.24038565477258e-11	7.67895568104171e-11
.	gene-PA5396	5564	5.22673573911273e-07	2.24038565477258e-11	7.67895568104171e-11
.	gene-PA2806	2867	151.49228626254	2.24109619750834e-11	7.67895568104171e-11
.	gene-PA5156	5313	0.00711756471726779	2.24262830528232e-11	7.67895568104171e-11
sspB	gene-PA4427	4547	160477.431817923	2.24424923089828e-11	7.67895568104171e-11
cmk	gene-PA3163	3242	11592.2880350088	2.2456481119093e-11	7.67895568104171e-11
.	gene-PA4981	5138	1.60788258942484e-05	2.24764651335363e-11	7.67895568104171e-11
.	gene-PA1748	1785	171417.290498785	2.24850138508259e-11	7.67895568104171e-11
opr86	gene-PA3648	3743	4205.86138890018	2.24950058580475e-11	7.67895568104171e-11
.	gene-PA0254	258	7924.41210298092	2.24971152817943e-11	7.67895568104171e-11
accA	gene-PA3639	3734	3853.49639223181	2.25013341292879e-11	7.67895568104171e-11
pscK	gene-PA1724	1761	3104826.67731659	2.25328644631873e-11	7.67895568104171e-11
.	gene-PA0006	6	3141.99164457259	2.25339746862119e-11	7.67895568104171e-11
.	gene-PA1405	1435	3741.11467555576	2.25404139797547e-11	7.67895568104171e-11
.	gene-PA1261	1290	824.587724946701	2.25575114143339e-11	7.67895568104171e-11
.	gene-PA1197	1226	21697.1095667773	2.25615082172226e-11	7.67895568104171e-11
.	gene-PA2137	2183	4.32540976998245e-13	2.25715002244442e-11	7.67895568104171e-11
.	gene-PA1363	1393	2869.30877096177	2.25754970273329e-11	7.67895568104171e-11
kdpC	gene-PA1635	1671	30613.337528915	2.25842677892274e-11	7.67895568104171e-11
.	gene-PA2366	2416	1.67743522827188e-10	2.25862661906717e-11	7.67895568104171e-11
.	gene-PA1089	1115	0.000281985700030637	2.26203500375277e-11	7.67895568104171e-11
rpsO	gene-PA4741	4891	46328059.3623212	2.26294538663296e-11	7.67895568104171e-11
.	gene-PA4939	5094	2315.30808159841	2.26334506692183e-11	7.67895568104171e-11
.	rna-PA5369.3	5535	14242.8979334113	2.26422214311128e-11	7.67895568104171e-11
lepA	gene-PA0767	781	1412.13183003119	2.26443308548596e-11	7.67895568104171e-11
.	gene-PA0640	647	7967484.47433827	2.26493268584704e-11	7.67895568104171e-11
.	gene-PA3402	3486	4437.45429314981	2.26590968210871e-11	7.67895568104171e-11
.	gene-PA0321	326	1.40852309796215e-07	2.26718643858703e-11	7.67895568104171e-11
obg	gene-PA4566	4691	66428.4172307645	2.26725305196851e-11	7.67895568104171e-11
.	gene-PA0502	508	3.86431670560605e-06	2.26865193297954e-11	7.67895568104171e-11
.	gene-PA1323	1352	7.20508964613139e-11	2.27060592550288e-11	7.67895568104171e-11
.	gene-PA0328	333	1245783.61736377	2.27654561868462e-11	7.67895568104171e-11
.	gene-PA4478	4599	21724.4836380093	2.28086438625041e-11	7.67895568104171e-11
.	gene-PA0448	453	26285.2059790024	2.28130847546026e-11	7.67895568104171e-11
.	gene-PA1977	2022	1.91013470003553e-07	2.28167484905839e-11	7.67895568104171e-11
.	gene-PA0279	283	2.07005751339456e-07	2.28221885834046e-11	7.67895568104171e-11
rplT	gene-PA2741	2794	15766439.1069159	2.28392860179838e-11	7.67895568104171e-11
pilH	gene-PA0409	414	522228.828806771	2.28408403302183e-11	7.67895568104171e-11
.	gene-PA4877	5030	1.05892814739439e-08	2.2874369065562e-11	7.67895568104171e-11
.	gene-PA0194	197	5.59409801665034e-06	2.29091190462327e-11	7.67895568104171e-11
rplQ	gene-PA4237	4338	34297.6543013707	2.29143370944485e-11	7.67895568104171e-11
.	gene-PA2650	2706	26.2338772579351	2.29218866110159e-11	7.67895568104171e-11
.	gene-PA5290	5452	0.0016087508968895	2.29314345290277e-11	7.67895568104171e-11
coIII	gene-PA0108	112	4.17511754569964e-13	2.29356533765213e-11	7.67895568104171e-11
.	gene-PA3504	3596	1.06938828740428e-05	2.2936541554941e-11	7.67895568104171e-11
.	gene-PA1324	1353	4.81669167923437e-11	2.29374297333607e-11	7.67895568104171e-11
.	gene-PA1514	1546	7.51565650277684e-08	2.29375407556631e-11	7.67895568104171e-11
.	gene-PA5391	5559	0.000719745874575254	2.29445351607183e-11	7.67895568104171e-11
.	gene-PA0115	119	11425.6018001262	2.29523067218906e-11	7.67895568104171e-11
.	gene-PA0478	484	1280.05471370123	2.295408307873e-11	7.67895568104171e-11
cupB2	gene-PA4085	4183	0.00130208549912311	2.29547492125448e-11	7.67895568104171e-11
.	gene-PA5195	5355	24955.1733606863	2.29611885060876e-11	7.67895568104171e-11
yfiB	gene-PA1119	1148	1341.38081074466	2.29671837104206e-11	7.67895568104171e-11
.	gene-PA4754	4906	5060.69498174915	2.29936070184067e-11	7.67895568104171e-11
trpA	gene-PA0035	36	3.33105384431963e-16	2.30149233004795e-11	7.67895568104171e-11
.	gene-PA5187	5347	8.63122574392672e-06	2.30244712184913e-11	7.67895568104171e-11
.	gene-PA1504	1536	114.190392457783	2.30864216632654e-11	7.67895568104171e-11
.	gene-PA3567	3659	8.22151810231896e-08	2.30971908266042e-11	7.67895568104171e-11
.	gene-PA2526	2577	570.781411233627	2.31249464022198e-11	7.67895568104171e-11
.	gene-PA0223	227	7.0286444154619e-05	2.31306085396454e-11	7.67895568104171e-11
cynS	gene-PA2052	2097	2.15952117513411e-05	2.31327179633922e-11	7.67895568104171e-11
.	gene-PA1325	1355	2.18955736881143e-08	2.31350494317439e-11	7.67895568104171e-11
betA	gene-PA5372	5540	44969016.071094	2.31485941526444e-11	7.67895568104171e-11
pabC	gene-PA2964	3031	913.17557142289	2.31581420706561e-11	7.67895568104171e-11
.	gene-PA4095	4193	0.000106135061919199	2.3173463148396e-11	7.67895568104171e-11
oprL	gene-PA0973	997	11086219.7181758	2.31754615498403e-11	7.67895568104171e-11
.	gene-PA4187	4287	3.28850543577265e-05	2.31878960477161e-11	7.67895568104171e-11
.	gene-PA1743	1780	1769.47710809652	2.31932251182343e-11	7.67895568104171e-11
.	gene-PA4015	4114	2.41481216603216e-09	2.31996644117771e-11	7.67895568104171e-11
.	gene-PA1195	1224	27433.2650800313	2.32311947456765e-11	7.67895568104171e-11
.	gene-PA3924	4023	2.44588759367441e-14	2.32363017715898e-11	7.67895568104171e-11
pscR	gene-PA1693	1730	14129327.2699026	2.32422969759227e-11	7.67895568104171e-11
.	gene-PA3748	3844	149.883968456931	2.3268054150094e-11	7.67895568104171e-11
.	MSTRG.2591.1	3180	3445.08914858253	2.32940333688703e-11	7.67895568104171e-11
.	gene-PA5188	5348	3.57905967891163e-05	2.33191244092268e-11	7.67895568104171e-11
.	gene-PA4099	4197	8895.6881940311	2.33298935725657e-11	7.67895568104171e-11
.	gene-PA3734	3830	6.85914880578454e-08	2.33334462862445e-11	7.67895568104171e-11
.	gene-PA0473	479	2.25334319208229e-07	2.33404406912996e-11	7.67895568104171e-11
.	gene-PA3324	3406	1233.67533491676	2.33453256726079e-11	7.67895568104171e-11
.	gene-PA2872	2937	217280.593171207	2.33548735906197e-11	7.67895568104171e-11
.	gene-PA1006	1029	12311.4083072698	2.33598695942305e-11	7.67895568104171e-11
.	gene-PA1234	1263	13233.1258072798	2.33730812482236e-11	7.67895568104171e-11
cobV	gene-PA1281	1310	0.0458446877182903	2.33785213410442e-11	7.67895568104171e-11
.	gene-PA3965	4064	2.7707879898056e-06	2.33794095194639e-11	7.67895568104171e-11
.	gene-PA2946	3012	1510.50613325125	2.33852937014944e-11	7.67895568104171e-11
.	gene-PA0746	761	9.34133222410353e-15	2.33865149468215e-11	7.67895568104171e-11
